,LOTTO GAME,DRAW DATE,JACKPOT (PHP),WINNERS,BALL 1,BALL 2,BALL 3,BALL 4,BALL 5,BALL 6
4495,Superlotto 6/49,5 06 2022,"36,267,803.80",0,16,32,35,12,2,6
4502,Grand Lotto 6/55,4 06 2022,"160,605,505.60",0,50,31,53,46,16,44
4503,Lotto 6/42,4 06 2022,"6,768,840.80",0,24,35,4,7,22,2
4511,Ultra Lotto 6/58,3 06 2022,"49,500,000.00",0,25,47,54,36,41,10
4512,Megalotto 6/45,3 06 2022,"65,628,324.00",0,4,39,32,31,20,15
4520,Superlotto 6/49,2 06 2022,"32,258,903.00",0,22,21,48,47,6,9
4521,Lotto 6/42,2 06 2022,"5,940,000.00",0,28,36,14,37,13,3
4529,Grand Lotto 6/55,1 06 2022,"151,908,888.00",0,42,21,44,10,51,25
4530,Megalotto 6/45,1 06 2022,"59,949,398.20",0,25,34,41,26,28,2
4538,Ultra Lotto 6/58,31 05 2022,"49,500,000.00",0,28,56,12,43,25,31
4539,Superlotto 6/49,31 05 2022,"28,029,483.60",0,33,19,41,46,36,12
4540,Lotto 6/42,31 05 2022,"43,912,343.80",3,25,20,29,7,21,2
4548,Grand Lotto 6/55,30 05 2022,"144,219,795.60",0,55,21,51,38,22,37
4549,Megalotto 6/45,30 05 2022,"54,968,935.40",0,12,21,24,30,40,44
4557,Ultra Lotto 6/58,29 05 2022,"49,500,000.00",0,9,25,56,40,12,43
4558,Superlotto 6/49,29 05 2022,"25,238,973.40",0,45,34,13,40,44,38
4565,Grand Lotto 6/55,28 05 2022,"136,876,472.80",0,2,3,41,15,33,46
4566,Lotto 6/42,28 05 2022,"39,311,022.60",0,9,17,23,11,13,30
4574,Ultra Lotto 6/58,27 05 2022,"49,500,000.00",0,40,51,50,19,1,32
4575,Megalotto 6/45,27 05 2022,"50,164,123.20",0,39,42,7,14,45,8
4583,Superlotto 6/49,26 05 2022,"21,515,565.60",0,17,44,21,49,35,20
4584,Lotto 6/42,26 05 2022,"34,985,545.40",0,34,41,4,29,19,18
4592,Grand Lotto 6/55,25 05 2022,"129,377,073.20",0,46,23,42,13,53,52
4593,Megalotto 6/45,25 05 2022,"45,338,080.40",0,27,4,10,37,39,34
4601,Ultra Lotto 6/58,24 05 2022,"100,064,568.00",1,20,22,9,54,6,19
4602,Superlotto 6/49,24 05 2022,"18,272,876.00",0,22,32,2,38,25,33
4603,Lotto 6/42,24 05 2022,"30,265,196.20",0,13,29,26,11,12,34
4611,Grand Lotto 6/55,23 05 2022,"122,419,120.00",0,2,48,12,42,44,6
4612,Megalotto 6/45,23 05 2022,"40,979,410.20",0,3,36,26,9,5,13
4620,Ultra Lotto 6/58,22 05 2022,"95,453,960.60",0,28,13,44,58,50,3
4621,Superlotto 6/49,22 05 2022,"15,840,000.00",0,33,22,9,44,8,27
4628,Grand Lotto 6/55,21 05 2022,"115,669,273.60",0,19,14,13,40,10,16
4629,Lotto 6/42,21 05 2022,"26,320,485.80",0,37,34,32,35,8,36
4637,Ultra Lotto 6/58,20 05 2022,"90,763,768.60",0,25,30,38,40,42,21
4638,Megalotto 6/45,20 05 2022,"36,651,349.80",0,14,32,23,10,1,12
4646,Superlotto 6/49,19 05 2022,"15,840,000.00",0,19,42,48,43,39,23
4647,Lotto 6/42,19 05 2022,"22,290,301.60",0,24,40,18,3,8,34
4655,Grand Lotto 6/55,18 05 2022,"108,162,917.60",0,48,22,23,51,9,26
4656,Megalotto 6/45,18 05 2022,"32,594,206.00",0,26,42,10,45,1,40
4664,Ultra Lotto 6/58,17 05 2022,"85,794,099.00",0,5,11,41,30,37,29
4665,Superlotto 6/49,17 05 2022,"15,840,000.00",0,25,10,13,15,24,11
4666,Lotto 6/42,17 05 2022,"18,149,335.60",0,13,8,15,33,37,22
4674,Grand Lotto 6/55,16 05 2022,"102,417,050.00",0,11,29,34,50,10,17
4675,Megalotto 6/45,16 05 2022,"28,867,242.80",0,13,20,1,8,10,22
4683,Ultra Lotto 6/58,15 05 2022,"81,871,351.40",0,40,52,25,44,28,50
4684,Superlotto 6/49,15 05 2022,"15,840,000.00",0,7,47,28,37,18,23
4691,Grand Lotto 6/55,14 05 2022,"97,116,249.20",0,34,41,27,17,19,53
4692,Lotto 6/42,14 05 2022,"15,020,774.00",0,19,25,18,33,10,31
4700,Ultra Lotto 6/58,13 05 2022,"77,723,629.00",0,3,43,16,7,23,40
4701,Megalotto 6/45,13 05 2022,"25,141,931.20",0,22,31,2,20,25,21
4709,Superlotto 6/49,12 05 2022,"15,840,000.00",0,43,35,49,17,30,15
4710,Lotto 6/42,12 05 2022,"11,692,275.80",0,15,20,33,37,10,2
4718,Grand Lotto 6/55,11 05 2022,"91,722,175.60",0,31,11,45,7,54,8
4719,Megalotto 6/45,11 05 2022,"21,417,572.20",0,36,6,27,45,35,9
4727,Ultra Lotto 6/58,10 05 2022,"73,122,256.00",0,46,29,10,38,48,56
4728,Superlotto 6/49,10 05 2022,"71,360,581.00",1,44,5,17,48,13,43
4729,Lotto 6/42,10 05 2022,"8,509,629.80",0,7,13,18,2,28,37
4737,Grand Lotto 6/55,9 05 2022,"86,950,282.20",0,32,8,11,33,42,41
4738,Megalotto 6/45,9 05 2022,"18,017,557.80",0,21,3,19,1,39,36
4746,Ultra Lotto 6/58,8 05 2022,"69,961,695.00",0,25,53,56,14,48,6
4747,Superlotto 6/49,8 05 2022,"67,522,822.80",0,18,24,4,26,47,36
4754,Grand Lotto 6/55,7 05 2022,"83,681,670.20",0,25,27,19,45,14,20
4755,Lotto 6/42,7 05 2022,"6,051,682.00",0,14,24,8,16,22,37
4763,Ultra Lotto 6/58,6 05 2022,"66,483,855.20",0,29,11,36,2,57,3
4764,Megalotto 6/45,6 05 2022,"15,660,042.40",0,42,40,7,20,30,13
4772,Superlotto 6/49,5 05 2022,"63,215,113.20",0,18,45,29,39,42,27
4773,Lotto 6/42,5 05 2022,"5,940,000.00",0,19,7,4,41,23,9
4781,Grand Lotto 6/55,4 05 2022,"78,828,589.60",0,23,42,34,25,48,41
4782,Megalotto 6/45,4 05 2022,"12,393,992.60",0,42,22,12,25,33,23
4790,Ultra Lotto 6/58,3 05 2022,"62,257,873.40",0,34,12,39,9,8,6
4791,Superlotto 6/49,3 05 2022,"58,535,471.00",0,24,48,36,34,1,27
4792,Lotto 6/42,3 05 2022,"51,412,148.00",1,7,22,19,20,40,10
4800,Grand Lotto 6/55,2 05 2022,"74,281,644.60",0,50,9,29,36,37,52
4801,Megalotto 6/45,2 05 2022,"9,287,719.80",0,9,2,20,26,37,13
4809,Ultra Lotto 6/58,1 05 2022,"59,236,931.20",0,2,23,6,58,18,21
4810,Superlotto 6/49,1 05 2022,"55,232,752.00",0,35,4,29,38,31,30
4817,Grand Lotto 6/55,30 04 2022,"69,834,391.00",0,50,37,36,6,9,20
4818,Lotto 6/42,30 04 2022,"47,018,808.20",0,17,25,21,33,39,4
4826,Ultra Lotto 6/58,29 04 2022,"55,792,337.20",0,49,42,17,20,33,31
4827,Megalotto 6/45,29 04 2022,"8,910,000.00",0,19,44,9,41,7,42
4835,Superlotto 6/49,28 04 2022,"51,095,013.40",0,7,31,46,2,6,3
4836,Lotto 6/42,28 04 2022,"42,434,650.00",0,39,24,33,6,42,25
4844,Grand Lotto 6/55,27 04 2022,"65,638,743.80",0,47,54,38,23,35,52
4845,Megalotto 6/45,27 04 2022,"8,910,000.00",0,21,38,42,20,3,40
4853,Ultra Lotto 6/58,26 04 2022,"51,683,779.20",0,52,18,30,22,49,20
4854,Superlotto 6/49,26 04 2022,"47,201,477.20",0,27,15,17,13,29,28
4855,Lotto 6/42,26 04 2022,"38,170,552.20",0,18,15,17,24,33,10
4863,Grand Lotto 6/55,25 04 2022,"61,356,722.00",0,43,10,30,21,50,5
4864,Megalotto 6/45,25 04 2022,"8,910,000.00",1,36,17,29,28,12,5
4872,Ultra Lotto 6/58,24 04 2022,"49,500,000.00",0,2,15,8,51,9,45
4873,Superlotto 6/49,24 04 2022,"43,999,664.20",0,32,2,38,30,29,41
4880,Grand Lotto 6/55,23 04 2022,"57,213,525.20",0,20,39,48,15,24,25
4881,Lotto 6/42,23 04 2022,"34,194,443.60",0,21,37,28,22,39,2
4889,Ultra Lotto 6/58,22 04 2022,"49,500,000.00",0,1,22,49,26,9,8
4890,Megalotto 6/45,22 04 2022,"8,910,000.00",0,39,37,43,22,31,40
4898,Superlotto 6/49,21 04 2022,"40,083,542.00",0,36,7,48,27,20,26
4899,Lotto 6/42,21 04 2022,"30,084,914.40",0,29,35,12,36,7,3
4907,Grand Lotto 6/55,20 04 2022,"53,348,024.40",0,15,46,42,43,27,34
4908,Megalotto 6/45,20 04 2022,"33,070,560.40",1,42,5,10,30,27,19
4916,Ultra Lotto 6/58,19 04 2022,"49,500,000.00",0,33,6,45,8,42,38
4917,Superlotto 6/49,19 04 2022,"36,298,848.60",0,41,46,38,6,15,21
4918,Lotto 6/42,19 04 2022,"26,208,227.40",0,10,11,8,30,29,26
4926,Grand Lotto 6/55,18 04 2022,"49,610,541.20",0,24,18,52,42,19,37
4927,Megalotto 6/45,18 04 2022,"29,121,777.00",0,17,25,7,5,10,8
4935,Grand Lotto 6/55,13 04 2022,"45,842,548.40",0,30,45,55,21,6,51
4936,Megalotto 6/45,13 04 2022,"25,224,716.20",0,34,3,6,15,44,8
4944,Ultra Lotto 6/58,12 04 2022,"49,500,000.00",0,51,53,42,7,55,12
4945,Superlotto 6/49,12 04 2022,"32,985,244.00",0,16,18,47,8,7,17
4946,Lotto 6/42,12 04 2022,"22,509,413.00",0,4,26,28,2,5,3
4954,Grand Lotto 6/55,11 04 2022,"42,071,986.60",0,55,32,24,37,40,4
4955,Megalotto 6/45,11 04 2022,"21,334,438.20",0,8,39,5,16,31,32
4963,Ultra Lotto 6/58,10 04 2022,"49,500,000.00",0,14,34,48,31,22,4
4964,Superlotto 6/49,10 04 2022,"30,008,180.00",0,18,23,3,26,11,35
4971,Grand Lotto 6/55,9 04 2022,"38,553,171.00",0,50,44,17,52,1,41
4972,Lotto 6/42,9 04 2022,"19,174,546.00",0,16,27,9,31,7,14
4980,Ultra Lotto 6/58,8 04 2022,"49,500,000.00",0,55,42,48,20,12,19
4981,Megalotto 6/45,8 04 2022,"17,690,457.00",0,35,28,5,44,14,27
4989,Superlotto 6/49,7 04 2022,"26,291,880.00",0,1,2,26,24,30,38
4990,Lotto 6/42,7 04 2022,"15,547,657.40",0,42,36,27,25,33,22
4998,Grand Lotto 6/55,6 04 2022,"34,897,519.20",0,43,26,53,44,6,23
4999,Megalotto 6/45,6 04 2022,"14,081,972.40",0,16,38,5,32,31,25
5007,Ultra Lotto 6/58,5 04 2022,"49,500,000.00",0,36,28,29,56,46,34
5008,Superlotto 6/49,5 04 2022,"22,428,835.80",0,24,25,12,19,22,28
5009,Lotto 6/42,5 04 2022,"12,124,273.00",0,31,22,37,4,34,5
5017,Grand Lotto 6/55,4 04 2022,"31,149,556.60",0,2,25,37,1,53,48
5018,Megalotto 6/45,4 04 2022,"10,573,205.60",0,7,39,28,43,35,29
5026,Ultra Lotto 6/58,3 04 2022,"49,500,000.00",0,42,5,11,22,3,2
5027,Superlotto 6/49,3 04 2022,"19,830,899.20",0,49,48,17,2,47,37
5034,Grand Lotto 6/55,2 04 2022,"29,700,000.00",0,17,35,49,33,16,31
5035,Lotto 6/42,2 04 2022,"9,452,158.80",0,16,38,19,18,25,34
5043,Ultra Lotto 6/58,1 04 2022,"49,500,000.00",0,10,21,49,48,25,5
5044,Megalotto 6/45,1 04 2022,"8,910,000.00",0,10,11,42,2,1,37
5052,Superlotto 6/49,31 03 2022,"16,219,692.60",0,17,49,9,46,43,26
5053,Lotto 6/42,31 03 2022,"6,111,716.80",0,27,17,19,16,33,36
5061,Grand Lotto 6/55,30 03 2022,"29,700,000.00",0,52,17,19,10,54,22
5062,Megalotto 6/45,30 03 2022,"8,910,000.00",0,7,34,1,8,21,37
5070,Ultra Lotto 6/58,29 03 2022,"49,500,000.00",0,38,53,2,32,51,37
5071,Superlotto 6/49,29 03 2022,"15,840,000.00",0,31,10,37,25,35,18
5072,Lotto 6/42,29 03 2022,"5,940,000.00",0,35,37,8,26,4,20
5080,Grand Lotto 6/55,28 03 2022,"29,700,000.00",0,29,51,23,34,55,8
5081,Megalotto 6/45,28 03 2022,"42,282,132.80",1,7,25,8,3,12,5
5089,Ultra Lotto 6/58,27 03 2022,"49,500,000.00",0,19,42,22,10,2,40
5090,Superlotto 6/49,27 03 2022,"15,840,000.00",0,34,10,35,20,49,27
5097,Grand Lotto 6/55,26 03 2022,"29,700,000.00",0,27,51,16,28,4,18
5098,Lotto 6/42,26 03 2022,"31,209,194.00",1,25,41,35,39,14,26
5106,Ultra Lotto 6/58,25 03 2022,"49,500,000.00",0,54,25,18,35,37,17
5107,Megalotto 6/45,25 03 2022,"37,316,127.60",0,4,44,11,45,43,26
5115,Superlotto 6/49,24 03 2022,"15,840,000.00",0,30,49,12,14,32,22
5116,Lotto 6/42,24 03 2022,"26,888,547.40",0,30,42,23,36,37,7
5124,Grand Lotto 6/55,23 03 2022,"29,700,000.00",0,24,36,35,7,23,10
5125,Megalotto 6/45,23 03 2022,"32,977,202.60",0,32,8,41,23,10,44
5133,Ultra Lotto 6/58,22 03 2022,"49,500,000.00",0,14,11,34,49,2,16
5134,Superlotto 6/49,22 03 2022,"15,840,000.00",0,34,39,35,42,37,26
5135,Lotto 6/42,22 03 2022,"22,489,187.80",0,34,36,7,41,40,17
5143,Grand Lotto 6/55,21 03 2022,"29,700,000.00",0,10,15,36,8,23,5
5144,Megalotto 6/45,21 03 2022,"28,629,945.40",0,41,38,1,12,19,33
5152,Ultra Lotto 6/58,20 03 2022,"79,699,584.80",1,29,5,3,11,8,42
5153,Superlotto 6/49,20 03 2022,"67,803,235.40",1,9,4,6,17,12,2
5160,Grand Lotto 6/55,19 03 2022,"29,700,000.00",0,16,24,33,15,30,37
5161,Lotto 6/42,19 03 2022,"18,726,352.60",0,17,18,19,20,8,33
5169,Ultra Lotto 6/58,18 03 2022,"75,544,261.40",0,35,25,32,9,51,2
5170,Megalotto 6/45,18 03 2022,"24,251,020.20",0,17,7,34,26,22,18
5178,Superlotto 6/49,17 03 2022,"62,963,919.80",0,13,44,3,11,9,33
5179,Lotto 6/42,17 03 2022,"15,031,175.20",0,22,5,20,1,25,7
5187,Grand Lotto 6/55,16 03 2022,"29,700,000.00",0,6,29,32,47,9,20
5188,Megalotto 6/45,16 03 2022,"20,481,433.00",0,43,6,38,8,22,12
5196,Ultra Lotto 6/58,15 03 2022,"70,784,120.20",0,57,56,3,47,44,2
5197,Superlotto 6/49,15 03 2022,"57,911,456.40",0,21,28,17,8,32,49
5198,Lotto 6/42,15 03 2022,"11,687,949.60",0,30,18,40,32,6,14
5206,Grand Lotto 6/55,14 03 2022,"98,551,582.00",1,9,17,45,39,35,15
5207,Megalotto 6/45,14 03 2022,"16,641,928.40",0,41,15,7,33,42,10
5215,Ultra Lotto 6/58,13 03 2022,"67,178,411.40",0,55,46,25,16,50,35
5216,Superlotto 6/49,13 03 2022,"54,023,592.00",0,40,32,23,25,4,1
5223,Grand Lotto 6/55,12 03 2022,"93,297,605.20",0,49,53,32,6,44,10
5224,Lotto 6/42,12 03 2022,"8,818,322.20",0,25,24,18,3,41,19
5232,Ultra Lotto 6/58,11 03 2022,"63,412,013.00",0,13,42,49,30,26,27
5233,Megalotto 6/45,11 03 2022,"13,277,158.40",0,22,34,16,5,11,3
5241,Superlotto 6/49,10 03 2022,"49,759,912.60",0,28,49,21,41,34,33
5242,Lotto 6/42,10 03 2022,"5,940,000.00",0,10,18,35,28,22,13
5250,Grand Lotto 6/55,9 03 2022,"87,696,656.80",0,46,29,30,34,4,20
5251,Megalotto 6/45,9 03 2022,"9,829,344.80",0,33,17,9,24,22,11
5259,Ultra Lotto 6/58,8 03 2022,"58,837,785.80",0,44,54,17,11,42,49
5260,Superlotto 6/49,8 03 2022,"45,005,988.20",0,11,44,15,17,7,38
5261,Lotto 6/42,8 03 2022,"5,940,000.00",0,36,32,42,15,28,12
5269,Grand Lotto 6/55,7 03 2022,"82,294,341.40",0,48,53,34,24,44,16
5270,Megalotto 6/45,7 03 2022,"8,910,000.00",0,3,20,44,29,7,30
5278,Ultra Lotto 6/58,6 03 2022,"55,400,950.20",0,16,19,29,49,53,11
5279,Superlotto 6/49,6 03 2022,"41,317,706.00",0,30,22,17,41,13,12
5286,Grand Lotto 6/55,5 03 2022,"77,187,174.80",0,43,15,39,42,13,49
5287,Lotto 6/42,5 03 2022,"12,537,017.20",1,18,34,33,39,11,36
5295,Ultra Lotto 6/58,4 03 2022,"51,782,147.00",0,4,39,24,48,16,53
5296,Megalotto 6/45,4 03 2022,"8,910,000.00",0,37,27,20,2,45,8
5304,Superlotto 6/49,3 03 2022,"37,302,968.20",0,13,24,12,47,20,9
5305,Lotto 6/42,3 03 2022,"9,167,960.60",0,10,28,31,30,33,40
5313,Grand Lotto 6/55,2 03 2022,"71,997,929.00",0,1,55,11,20,25,28
5314,Megalotto 6/45,2 03 2022,"8,910,000.00",1,2,30,45,42,27,17
5322,Ultra Lotto 6/58,1 03 2022,"49,500,000.00",0,51,11,4,17,21,13
5323,Superlotto 6/49,1 03 2022,"32,936,252.20",0,40,22,37,1,34,8
5324,Lotto 6/42,1 03 2022,"6,082,200.40",0,42,18,16,14,24,11
5332,Grand Lotto 6/55,28 02 2022,"67,111,006.80",0,43,15,55,35,49,52
5333,Megalotto 6/45,28 02 2022,"8,910,000.00",0,3,12,27,37,18,44
5341,Ultra Lotto 6/58,27 02 2022,"49,500,000.00",0,31,29,33,12,58,49
5342,Superlotto 6/49,27 02 2022,"29,538,641.60",0,9,35,39,41,36,40
5349,Grand Lotto 6/55,26 02 2022,"62,489,290.80",0,9,16,46,5,43,54
5350,Lotto 6/42,26 02 2022,"5,940,000.00",0,2,16,28,10,37,15
5358,Ultra Lotto 6/58,25 02 2022,"49,500,000.00",0,56,16,18,30,42,41
5359,Megalotto 6/45,25 02 2022,"10,304,636.60",1,6,22,23,41,36,21
5367,Superlotto 6/49,24 02 2022,"25,861,864.80",0,3,16,46,40,27,42
5368,Lotto 6/42,24 02 2022,"28,851,800.80",1,12,29,15,3,6,20
5376,Grand Lotto 6/55,23 02 2022,"57,977,506.60",0,44,48,50,37,7,19
5377,Megalotto 6/45,23 02 2022,"8,910,000.00",0,44,3,34,30,35,22
5385,Ultra Lotto 6/58,22 02 2022,"49,500,000.00",0,42,13,25,50,34,30
5386,Superlotto 6/49,22 02 2022,"22,608,529.60",0,36,8,49,47,39,24
5387,Lotto 6/42,22 02 2022,"24,425,273.40",0,13,3,6,30,21,19
5395,Grand Lotto 6/55,21 02 2022,"53,617,177.00",0,48,43,12,9,31,36
5396,Megalotto 6/45,21 02 2022,"8,910,000.00",0,21,27,15,41,31,35
5404,Ultra Lotto 6/58,20 02 2022,"49,500,000.00",0,40,39,35,52,5,17
5405,Superlotto 6/49,20 02 2022,"19,907,604.80",0,43,14,11,19,1,39
5412,Grand Lotto 6/55,19 02 2022,"49,517,797.80",0,54,47,7,46,6,39
5413,Lotto 6/42,19 02 2022,"20,522,079.40",0,37,29,31,30,21,17
5421,Ultra Lotto 6/58,18 02 2022,"49,500,000.00",0,47,58,12,18,31,44
5422,Megalotto 6/45,18 02 2022,"62,756,225.80",1,31,30,6,4,29,16
5430,Superlotto 6/49,17 02 2022,"16,368,985.80",0,24,36,29,4,43,34
5431,Lotto 6/42,17 02 2022,"16,654,165.00",0,2,1,39,14,38,24
5439,Grand Lotto 6/55,16 02 2022,"45,732,681.60",0,22,9,2,8,6,15
5440,Megalotto 6/45,16 02 2022,"56,901,761.80",0,6,13,10,15,20,34
5448,Ultra Lotto 6/58,15 02 2022,"49,500,000.00",0,25,8,31,34,33,26
5449,Superlotto 6/49,15 02 2022,"15,840,000.00",0,13,38,8,29,33,34
5450,Lotto 6/42,15 02 2022,"12,870,173.00",0,23,5,37,4,26,41
5458,Grand Lotto 6/55,14 02 2022,"42,514,960.80",0,46,54,13,1,38,30
5459,Megalotto 6/45,14 02 2022,"51,291,565.20",0,27,15,18,22,29,6
5467,Ultra Lotto 6/58,13 02 2022,"49,500,000.00",0,2,56,48,11,21,45
5468,Superlotto 6/49,13 02 2022,"15,840,000.00",0,39,44,45,10,7,43
5475,Grand Lotto 6/55,12 02 2022,"39,511,586.80",0,55,33,36,46,2,32
5476,Lotto 6/42,12 02 2022,"9,760,454.80",0,7,24,25,12,15,32
5484,Ultra Lotto 6/58,11 02 2022,"49,500,000.00",0,49,45,3,13,39,57
5485,Megalotto 6/45,11 02 2022,"46,049,467.20",0,43,19,23,30,41,17
5493,Superlotto 6/49,10 02 2022,"15,840,000.00",0,15,32,5,29,37,38
5494,Lotto 6/42,10 02 2022,"6,500,180.40",0,38,26,13,37,15,39
5502,Grand Lotto 6/55,9 02 2022,"35,799,081.20",0,52,17,55,45,21,49
5503,Megalotto 6/45,9 02 2022,"41,146,898.20",0,32,25,30,43,17,8
5511,Ultra Lotto 6/58,8 02 2022,"49,500,000.00",0,51,20,29,18,36,8
5512,Superlotto 6/49,8 02 2022,"15,840,000.00",0,12,15,40,48,32,17
5513,Lotto 6/42,8 02 2022,"5,940,000.00",0,8,28,18,23,19,39
5521,Grand Lotto 6/55,7 02 2022,"32,727,317.20",0,29,17,38,7,6,41
5522,Megalotto 6/45,7 02 2022,"36,331,026.40",0,38,4,10,8,45,7
5530,Ultra Lotto 6/58,6 02 2022,"49,500,000.00",0,34,14,43,17,11,5
5531,Superlotto 6/49,6 02 2022,"29,073,809.20",1,36,29,35,16,3,17
5538,Grand Lotto 6/55,5 02 2022,"29,700,000.00",0,33,34,41,36,5,39
5539,Lotto 6/42,5 02 2022,"49,813,434.40",1,30,20,15,9,23,22
5547,Ultra Lotto 6/58,4 02 2022,"49,500,000.00",0,11,27,1,3,55,32
5548,Megalotto 6/45,4 02 2022,"31,592,295.20",0,14,5,42,45,34,15
5556,Superlotto 6/49,3 02 2022,"25,252,455.40",0,9,23,19,44,24,14
5557,Lotto 6/42,3 02 2022,"44,124,019.40",0,32,17,18,24,30,33
5565,Grand Lotto 6/55,2 02 2022,"29,700,000.00",0,24,32,7,11,9,49
5566,Megalotto 6/45,2 02 2022,"27,581,813.20",0,5,42,3,20,32,25
5574,Ultra Lotto 6/58,1 02 2022,"49,500,000.00",0,54,36,27,21,3,9
5575,Superlotto 6/49,1 02 2022,"21,987,686.20",0,41,12,39,44,26,16
5576,Lotto 6/42,1 02 2022,"38,674,890.20",0,20,15,4,34,6,18
5584,Grand Lotto 6/55,31 01 2022,"29,700,000.00",0,48,30,19,38,34,2
5585,Megalotto 6/45,31 01 2022,"23,515,413.40",0,38,23,33,7,13,27
5593,Ultra Lotto 6/58,30 01 2022,"49,500,000.00",1,22,2,14,30,10,35
5594,Superlotto 6/49,30 01 2022,"19,298,787.80",0,47,38,8,34,30,6
5601,Grand Lotto 6/55,29 01 2022,"29,700,000.00",0,28,55,52,22,41,35
5602,Lotto 6/42,29 01 2022,"33,852,288.40",0,33,27,19,35,42,14
5610,Ultra Lotto 6/58,28 01 2022,"49,500,000.00",0,53,5,1,38,37,17
5611,Megalotto 6/45,28 01 2022,"19,556,985.40",0,4,40,13,31,26,24
5619,Superlotto 6/49,27 01 2022,"15,898,616.00",0,36,14,39,24,31,12
5620,Lotto 6/42,27 01 2022,"29,164,435.20",0,3,27,36,28,12,8
5628,Grand Lotto 6/55,26 01 2022,"29,700,000.00",0,12,29,15,6,54,5
5629,Megalotto 6/45,26 01 2022,"16,013,109.60",0,7,14,19,34,11,35
5637,Ultra Lotto 6/58,25 01 2022,"49,500,000.00",0,11,21,47,53,4,34
5638,Superlotto 6/49,25 01 2022,"15,840,000.00",0,36,40,26,3,23,10
5639,Lotto 6/42,25 01 2022,"24,635,223.60",0,24,26,6,39,20,35
5647,Grand Lotto 6/55,24 01 2022,"29,700,000.00",0,4,36,28,29,17,49
5648,Megalotto 6/45,24 01 2022,"12,804,310.00",0,27,8,9,26,44,18
5656,Ultra Lotto 6/58,23 01 2022,"49,500,000.00",0,46,3,39,30,28,18
5657,Superlotto 6/49,23 01 2022,"15,840,000.00",0,4,6,46,38,12,33
5664,Grand Lotto 6/55,22 01 2022,"29,700,000.00",0,41,17,49,39,6,32
5665,Lotto 6/42,22 01 2022,"20,720,246.60",0,8,9,15,36,35,34
5673,Ultra Lotto 6/58,21 01 2022,"49,500,000.00",0,43,37,49,34,1,30
5674,Megalotto 6/45,21 01 2022,"9,511,775.20",0,17,43,34,30,6,10
5682,Superlotto 6/49,20 01 2022,"15,840,000.00",0,16,18,31,23,39,29
5683,Lotto 6/42,20 01 2022,"16,840,457.80",0,15,5,17,7,20,33
5691,Grand Lotto 6/55,19 01 2022,"29,700,000.00",0,49,11,51,13,45,18
5692,Megalotto 6/45,19 01 2022,"8,910,000.00",0,12,2,40,8,26,39
5700,Ultra Lotto 6/58,18 01 2022,"49,500,000.00",0,52,15,42,18,34,47
5701,Superlotto 6/49,18 01 2022,"15,840,000.00",0,46,47,7,21,3,36
5702,Lotto 6/42,18 01 2022,"13,172,710.20",0,23,16,30,36,19,38
5710,Grand Lotto 6/55,17 01 2022,"29,700,000.00",0,13,17,25,6,23,19
5711,Megalotto 6/45,17 01 2022,"8,910,000.00",0,7,22,37,29,34,14
5719,Ultra Lotto 6/58,16 01 2022,"49,500,000.00",0,13,34,17,41,58,53
5720,Superlotto 6/49,16 01 2022,"142,679,606.40",1,2,5,4,31,1,46
5727,Grand Lotto 6/55,15 01 2022,"65,991,571.00",1,39,29,9,21,19,20
5728,Lotto 6/42,15 01 2022,"10,025,465.00",0,18,28,16,32,29,10
5736,Ultra Lotto 6/58,14 01 2022,"70,258,716.80",1,53,10,19,21,42,47
5737,Megalotto 6/45,14 01 2022,"20,212,102.00",1,24,31,20,17,13,18
5745,Superlotto 6/49,13 01 2022,"135,335,733.60",0,3,47,7,41,13,28
5746,Lotto 6/42,13 01 2022,"7,068,747.40",0,18,15,33,27,7,14
5754,Grand Lotto 6/55,12 01 2022,"62,288,626.40",0,45,29,40,14,32,5
5755,Megalotto 6/45,12 01 2022,"17,139,845.80",0,16,40,12,45,26,44
5763,Ultra Lotto 6/58,11 01 2022,"66,768,986.00",0,51,48,20,50,32,43
5764,Superlotto 6/49,11 01 2022,"130,613,332.40",0,38,49,9,2,35,31
5765,Lotto 6/42,11 01 2022,"5,940,000.00",0,35,28,25,36,31,3
5773,Grand Lotto 6/55,10 01 2022,"60,521,432.60",0,50,44,3,37,41,14
5774,Megalotto 6/45,10 01 2022,"15,549,735.20",0,30,24,32,33,40,8
5782,Ultra Lotto 6/58,9 01 2022,"64,875,864.60",0,46,29,47,19,56,2
5783,Superlotto 6/49,9 01 2022,"129,125,463.60",0,44,46,18,47,8,49
5790,Grand Lotto 6/55,8 01 2022,"57,186,527.00",0,18,43,6,41,44,48
5791,Lotto 6/42,8 01 2022,"5,940,000.00",0,32,41,15,25,18,22
5799,Ultra Lotto 6/58,7 01 2022,"61,519,636.00",0,5,34,22,25,13,43
5800,Megalotto 6/45,7 01 2022,"12,496,283.80",0,44,12,10,26,7,41
5808,Superlotto 6/49,6 01 2022,"121,338,871.60",0,26,16,22,8,6,27
5809,Lotto 6/42,6 01 2022,"42,945,708.20",4,23,1,9,24,12,7
5817,Grand Lotto 6/55,5 01 2022,"53,073,962.00",0,50,40,54,53,44,29
5818,Megalotto 6/45,5 01 2022,"9,022,177.80",0,27,30,21,19,20,10
5826,Ultra Lotto 6/58,4 01 2022,"57,293,039.80",0,43,26,46,52,32,14
5827,Superlotto 6/49,4 01 2022,"114,558,335.20",0,22,39,27,14,40,20
