,LOTTO GAME,DRAW DATE,JACKPOT (PHP),WINNERS,BALL 1,BALL 2,BALL 3,BALL 4,BALL 5,BALL 6
306,Grand Lotto 6/55,18 09 2023,"29,700,000.00",0,9,2,26,49,22,30
307,Megalotto 6/45,18 09 2023,"28,687,710.80",0,37,26,5,16,21,24
315,Ultra Lotto 6/58,17 09 2023,"72,922,751.00",0,27,16,21,31,56,1
316,Superlotto 6/49,17 09 2023,"58,557,629.80",0,26,3,46,34,15,20
323,Grand Lotto 6/55,16 09 2023,"29,700,000.00",0,9,27,44,49,11,24
324,Lotto 6/42,16 09 2023,"14,713,518.60",0,30,39,4,32,42,29
332,Ultra Lotto 6/58,15 09 2023,"68,037,849.40",0,28,41,25,29,54,37
333,Megalotto 6/45,15 09 2023,"24,107,633.40",0,25,44,18,41,11,31
341,Superlotto 6/49,14 09 2023,"53,305,892.60",0,30,33,46,26,42,38
342,Lotto 6/42,14 09 2023,"10,586,627.00",0,6,27,3,13,35,4
350,Grand Lotto 6/55,13 09 2023,"29,700,000.00",0,45,23,11,13,46,4
351,Megalotto 6/45,13 09 2023,"19,693,106.00",0,12,41,30,22,43,24
359,Ultra Lotto 6/58,12 09 2023,"62,389,446.40",0,9,46,8,53,30,47
360,Superlotto 6/49,12 09 2023,"47,666,758.80",0,36,23,31,9,12,29
361,Lotto 6/42,12 09 2023,"7,058,280.20",0,17,14,3,26,33,5
369,Grand Lotto 6/55,11 09 2023,"29,700,000.00",0,31,54,29,52,24,12
370,Megalotto 6/45,11 09 2023,"15,456,826.60",0,23,1,5,10,20,6
378,Ultra Lotto 6/58,10 09 2023,"58,002,406.00",0,58,2,15,35,28,12
379,Superlotto 6/49,10 09 2023,"43,302,652.40",0,42,1,22,44,15,3
386,Grand Lotto 6/55,9 09 2023,"29,700,000.00",0,42,32,54,44,11,39
387,Lotto 6/42,9 09 2023,"5,940,000.00",0,19,11,9,3,41,35
395,Ultra Lotto 6/58,8 09 2023,"53,095,488.80",0,40,52,3,54,14,35
396,Megalotto 6/45,8 09 2023,"11,286,958.60",0,33,17,4,43,15,38
404,Superlotto 6/49,7 09 2023,"38,205,605.00",0,6,15,20,38,43,7
405,Lotto 6/42,7 09 2023,"36,257,127.40",1,3,31,15,19,10,27
413,Grand Lotto 6/55,6 09 2023,"29,700,000.00",0,50,48,2,55,46,9
414,Megalotto 6/45,6 09 2023,"8,910,000.00",0,12,33,32,8,42,23
422,Ultra Lotto 6/58,5 09 2023,"49,500,000.00",0,57,8,24,22,1,26
423,Superlotto 6/49,5 09 2023,"33,786,391.20",0,3,12,24,17,44,43
424,Lotto 6/42,5 09 2023,"31,058,851.40",0,32,21,27,25,13,40
432,Grand Lotto 6/55,4 09 2023,"111,039,686.00",1,55,50,6,45,12,40
433,Megalotto 6/45,4 09 2023,"8,910,000.00",0,32,39,26,21,37,6
441,Ultra Lotto 6/58,3 09 2023,"49,500,000.00",0,51,8,56,18,37,9
442,Superlotto 6/49,3 09 2023,"30,390,963.00",0,32,29,10,45,17,30
449,Grand Lotto 6/55,2 09 2023,"103,523,966.80",0,10,2,17,4,35,51
450,Lotto 6/42,2 09 2023,"26,517,289.80",0,29,11,32,34,23,22
458,Ultra Lotto 6/58,1 09 2023,"49,500,000.00",0,2,44,55,51,4,30
459,Megalotto 6/45,1 09 2023,"8,910,000.00",1,30,42,39,12,35,18
467,Superlotto 6/49,31 08 2023,"26,027,300.40",0,30,47,10,31,49,26
468,Lotto 6/42,31 08 2023,"22,056,462.80",0,10,29,6,7,11,21
476,Grand Lotto 6/55,30 08 2023,"96,492,013.20",0,12,4,48,6,43,55
477,Megalotto 6/45,30 08 2023,"8,910,000.00",0,19,5,37,30,11,23
485,Ultra Lotto 6/58,29 08 2023,"49,500,000.00",0,3,18,10,45,37,24
486,Superlotto 6/49,29 08 2023,"21,968,667.80",0,2,9,37,43,13,38
487,Lotto 6/42,29 08 2023,"17,785,004.00",0,1,4,15,10,34,39
495,Grand Lotto 6/55,28 08 2023,"90,060,945.20",0,41,17,7,51,39,46
496,Megalotto 6/45,28 08 2023,"101,344,365.20",1,9,30,28,45,31,5
504,Ultra Lotto 6/58,27 08 2023,"49,500,000.00",0,6,50,57,45,13,56
505,Superlotto 6/49,27 08 2023,"18,928,519.00",0,11,48,20,33,22,8
512,Grand Lotto 6/55,26 08 2023,"85,160,345.00",0,42,28,30,34,33,1
513,Lotto 6/42,26 08 2023,"14,187,192.40",0,12,32,41,23,40,22
521,Ultra Lotto 6/58,25 08 2023,"49,500,000.00",0,15,30,6,5,13,52
522,Megalotto 6/45,25 08 2023,"93,036,829.80",0,32,12,3,18,38,19
530,Superlotto 6/49,24 08 2023,"15,840,000.00",0,33,40,3,44,48,42
