LOTTO GAME,COMBINATIONS,DRAW DATE,JACKPOT,WINNERS
2D Lotto 5PM,17 Apr,10 12 2023,4000.00,135
2D Lotto 9PM,3 Aug,10 12 2023,4000.00,340
Grand Lotto 6/55,14-07-37-20-47-43,10 11 2023,29700000.00,0
Megalotto 6/45,41-12-13-06-31-05,10 11 2023,8910000.00,0
4D Lotto,0-5-7-7,10 11 2023,41398.00,21
3D Lotto 2PM,2 05 2004,10 11 2023,4500.00,529
3D Lotto 5PM,9 02 2008,10 11 2023,4500.00,305
3D Lotto 9PM,9 04 2000,10 11 2023,4500.00,250
2D Lotto 2PM,30-26,10 11 2023,4000.00,37
2D Lotto 5PM,22-14,10 11 2023,4000.00,39
2D Lotto 9PM,26-14,10 11 2023,4000.00,405
Ultra Lotto 6/58,16-57-27-28-24-47,10 10 2023,49500000.00,0
Superlotto 6/49,03-14-26-13-17-39,10 10 2023,126631688.80,0
Lotto 6/42,39-13-41-04-01-03,10 10 2023,29940313.00,0
6D Lotto,9-1-1-7-8-2,10 10 2023,1744549.04,0
3D Lotto 2PM,3 09 2008,10 10 2023,4500.00,173
3D Lotto 5PM,4 06 2007,10 10 2023,4500.00,220
3D Lotto 9PM,7 09 2007,10 10 2023,4500.00,277
2D Lotto 2PM,Jan 15,10 10 2023,4000.00,395
2D Lotto 5PM,Nov 18,10 10 2023,4000.00,284
2D Lotto 9PM,Jul 24,10 10 2023,4000.00,564
Grand Lotto 6/55,03-30-05-06-02-14,10 09 2023,29700000.00,0
Megalotto 6/45,34-41-11-01-10-07,10 09 2023,81039037.20,3
4D Lotto,6-6-3-0,10 09 2023,18797.00,28
3D Lotto 2PM,7 04 2008,10 09 2023,4500.00,207
3D Lotto 5PM,4 06 2004,10 09 2023,4500.00,187
3D Lotto 9PM,0-9-0,10 09 2023,4500.00,143
2D Lotto 2PM,16-18,10 09 2023,4000.00,210
2D Lotto 5PM,8 Aug,10 09 2023,4000.00,695
2D Lotto 9PM,Aug 30,10 09 2023,4000.00,643
Ultra Lotto 6/58,19-16-33-13-10-47,10 08 2023,49500000.00,0
Superlotto 6/49,47-43-35-20-29-13,10 08 2023,118184111.20,0
3D Lotto 2PM,8 04 2004,10 08 2023,4500.00,387
3D Lotto 5PM,2 08 2005,10 08 2023,4500.00,166
3D Lotto 9PM,9 03 2004,10 08 2023,4500.00,425
2D Lotto 2PM,31 Jul,10 08 2023,4000.00,56
